DATE(time)	nodeId	count(*)
2011-07-08	5092	80
2011-07-08	5124	81
2011-07-08	5156	83
2011-07-08	5188	84
2011-07-08	5220	85
2011-07-08	5252	86
2011-07-08	5284	87
2011-07-08	5316	88
2011-07-08	5348	92
2011-07-08	5540	1
2011-07-09	5092	288
2011-07-09	5124	288
2011-07-09	5156	288
2011-07-09	5188	288
2011-07-09	5220	288
2011-07-09	5252	288
2011-07-09	5284	288
2011-07-09	5316	288
2011-07-09	5348	288
2011-07-10	5092	288
2011-07-10	5124	288
2011-07-10	5156	288
2011-07-10	5188	288
2011-07-10	5220	288
2011-07-10	5252	287
2011-07-10	5284	287
2011-07-10	5316	288
2011-07-10	5348	288
2011-07-11	4932	122
2011-07-11	4964	122
2011-07-11	4996	156
2011-07-11	5028	156
2011-07-11	5060	155
2011-07-11	5092	284
2011-07-11	5124	284
2011-07-11	5156	278
2011-07-11	5188	283
2011-07-11	5220	277
2011-07-11	5252	284
2011-07-11	5284	284
2011-07-11	5316	284
2011-07-11	5348	284
2011-07-11	5476	131
2011-07-11	5508	131
2011-07-11	5540	131
2011-07-11	5572	130
2011-07-11	5604	130
2011-07-11	5636	130
2011-07-12	4932	288
2011-07-12	4964	288
2011-07-12	4996	288
2011-07-12	5028	288
2011-07-12	5060	288
2011-07-12	5092	288
2011-07-12	5124	288
2011-07-12	5156	288
2011-07-12	5188	288
2011-07-12	5220	288
2011-07-12	5252	288
2011-07-12	5284	288
2011-07-12	5316	288
2011-07-12	5348	288
2011-07-12	5380	1
2011-07-12	5412	1
2011-07-12	5476	288
2011-07-12	5508	288
2011-07-12	5540	288
2011-07-12	5572	288
2011-07-12	5604	288
2011-07-12	5636	288
2011-07-13	4932	288
2011-07-13	4964	288
2011-07-13	4996	288
2011-07-13	5028	288
2011-07-13	5060	288
2011-07-13	5092	288
2011-07-13	5124	288
2011-07-13	5156	288
2011-07-13	5188	288
2011-07-13	5220	288
2011-07-13	5252	288
2011-07-13	5284	288
2011-07-13	5316	288
2011-07-13	5348	288
2011-07-13	5476	288
2011-07-13	5508	288
2011-07-13	5540	288
2011-07-13	5572	288
2011-07-13	5604	288
2011-07-13	5636	288
2011-07-14	4932	288
2011-07-14	4964	288
2011-07-14	4996	288
2011-07-14	5028	288
2011-07-14	5060	288
2011-07-14	5092	288
2011-07-14	5124	288
2011-07-14	5156	288
2011-07-14	5188	288
2011-07-14	5220	288
2011-07-14	5252	288
2011-07-14	5284	288
2011-07-14	5316	288
2011-07-14	5348	288
2011-07-14	5476	288
2011-07-14	5508	288
2011-07-14	5540	288
2011-07-14	5572	288
2011-07-14	5604	288
2011-07-14	5636	288
2011-07-15	4932	288
2011-07-15	4964	288
2011-07-15	4996	288
2011-07-15	5028	288
2011-07-15	5060	288
2011-07-15	5092	288
2011-07-15	5124	288
2011-07-15	5156	287
2011-07-15	5188	288
2011-07-15	5220	288
2011-07-15	5252	288
2011-07-15	5284	288
2011-07-15	5316	288
2011-07-15	5348	288
2011-07-15	5476	288
2011-07-15	5508	288
2011-07-15	5540	288
2011-07-15	5572	288
2011-07-15	5604	288
2011-07-15	5636	288
2011-07-16	4932	288
2011-07-16	4964	288
2011-07-16	4996	288
2011-07-16	5028	288
2011-07-16	5060	288
2011-07-16	5092	288
2011-07-16	5124	288
2011-07-16	5156	288
2011-07-16	5188	288
2011-07-16	5220	288
2011-07-16	5252	288
2011-07-16	5284	288
2011-07-16	5316	288
2011-07-16	5348	288
2011-07-16	5476	288
2011-07-16	5508	288
2011-07-16	5540	288
2011-07-16	5572	288
2011-07-16	5604	288
2011-07-16	5636	288
2011-07-17	4932	288
2011-07-17	4964	288
2011-07-17	4996	288
2011-07-17	5028	288
2011-07-17	5060	288
2011-07-17	5092	288
2011-07-17	5124	288
2011-07-17	5156	288
2011-07-17	5188	288
2011-07-17	5220	288
2011-07-17	5252	288
2011-07-17	5284	288
2011-07-17	5316	288
2011-07-17	5348	288
2011-07-17	5476	289
2011-07-17	5508	289
2011-07-17	5540	289
2011-07-17	5572	289
2011-07-17	5604	289
2011-07-17	5636	289
2011-07-18	4932	288
2011-07-18	4964	288
2011-07-18	4996	288
2011-07-18	5028	288
2011-07-18	5060	288
2011-07-18	5092	288
2011-07-18	5124	288
2011-07-18	5156	219
2011-07-18	5188	288
2011-07-18	5220	288
2011-07-18	5252	288
2011-07-18	5284	288
2011-07-18	5316	288
2011-07-18	5348	288
2011-07-18	5476	288
2011-07-18	5508	288
2011-07-18	5540	288
2011-07-18	5572	288
2011-07-18	5604	288
2011-07-18	5636	288
2011-07-19	4932	288
2011-07-19	4964	288
2011-07-19	4996	288
2011-07-19	5028	288
2011-07-19	5060	288
2011-07-19	5092	288
2011-07-19	5124	288
2011-07-19	5188	288
2011-07-19	5220	288
2011-07-19	5252	288
2011-07-19	5284	288
2011-07-19	5316	288
2011-07-19	5348	288
2011-07-19	5476	288
2011-07-19	5508	288
2011-07-19	5540	288
2011-07-19	5572	288
2011-07-19	5604	288
2011-07-19	5636	288
2011-07-20	4932	288
2011-07-20	4964	288
2011-07-20	4996	288
2011-07-20	5028	288
2011-07-20	5060	288
2011-07-20	5092	288
2011-07-20	5124	288
2011-07-20	5188	288
2011-07-20	5220	288
2011-07-20	5252	288
2011-07-20	5284	288
2011-07-20	5316	288
2011-07-20	5348	288
2011-07-20	5476	288
2011-07-20	5508	288
2011-07-20	5540	288
2011-07-20	5572	288
2011-07-20	5604	288
2011-07-20	5636	288
2011-07-21	4932	102
2011-07-21	4964	102
2011-07-21	4996	102
2011-07-21	5028	102
2011-07-21	5060	102
2011-07-21	5092	102
2011-07-21	5124	102
2011-07-21	5188	102
2011-07-21	5220	102
2011-07-21	5252	102
2011-07-21	5284	102
2011-07-21	5316	102
2011-07-21	5348	102
2011-07-21	5476	106
2011-07-21	5508	106
2011-07-21	5540	106
2011-07-21	5572	106
2011-07-21	5604	106
2011-07-21	5636	106
2011-09-12	69	143
2011-09-12	70	143
2011-09-12	71	142
2011-09-12	72	145
2011-09-12	105	1
2011-09-12	169	1
2011-09-12	4164	142
2011-09-12	4196	143
2011-09-12	8257	141
2011-09-12	8258	141
2011-09-12	8259	18
2011-09-12	8291	35
2011-09-12	12352	142
2011-09-12	12384	36
2011-09-13	69	147
2011-09-13	70	147
2011-09-13	71	147
2011-09-13	72	147
2011-09-13	4164	147
2011-09-13	4196	147
2011-09-13	8257	147
2011-09-13	8258	148
2011-09-13	12352	147
2011-10-10	133	1301
2011-10-10	134	1319
2011-10-10	135	1306
2011-10-10	136	1305
2011-10-10	8321	1297
2011-10-10	12416	1291
2011-10-11	133	2880
2011-10-11	134	2880
2011-10-11	135	2880
2011-10-11	136	2879
2011-10-11	8321	2879
2011-10-11	12416	2879
2011-10-12	133	1501
2011-10-12	134	1497
2011-10-12	135	1494
2011-10-12	136	1496
2011-10-12	8321	1503
2011-10-12	8322	285
2011-10-12	12416	1497
2011-10-26	134	145
2011-10-26	8322	215
2011-10-26	9000	135
2011-10-27	134	288
2011-10-27	8322	288
2011-10-27	9000	288
2011-10-28	69	102
2011-10-28	70	101
2011-10-28	71	102
2011-10-28	72	101
2011-10-28	101	97
2011-10-28	102	99
2011-10-28	103	97
2011-10-28	104	98
2011-10-28	133	97
2011-10-28	134	272
2011-10-28	135	101
2011-10-28	136	100
2011-10-28	165	100
2011-10-28	166	99
2011-10-28	167	101
2011-10-28	168	100
2011-10-28	197	100
2011-10-28	198	99
2011-10-28	199	103
2011-10-28	200	99
2011-10-28	229	100
2011-10-28	230	100
2011-10-28	231	101
2011-10-28	232	100
2011-10-28	8257	101
2011-10-28	8258	100
2011-10-28	8259	101
2011-10-28	8289	98
2011-10-28	8290	102
2011-10-28	8291	99
2011-10-28	8321	98
2011-10-28	8322	269
2011-10-28	8323	102
2011-10-28	8353	100
2011-10-28	8354	101
2011-10-28	8355	100
2011-10-28	8385	99
2011-10-28	8386	99
2011-10-28	8387	102
2011-10-28	8417	104
2011-10-28	8418	99
2011-10-28	8419	101
2011-10-28	8449	98
2011-10-28	9000	276
2011-10-28	12352	102
2011-10-28	12384	100
2011-10-28	12416	98
2011-10-28	12448	97
2011-10-28	12480	100
2011-10-28	12512	99
2011-10-28	12544	99
2011-10-29	69	288
2011-10-29	70	288
2011-10-29	71	288
2011-10-29	72	288
2011-10-29	101	288
2011-10-29	102	288
2011-10-29	103	288
2011-10-29	104	288
2011-10-29	133	288
2011-10-29	134	288
2011-10-29	135	288
2011-10-29	136	287
2011-10-29	165	286
2011-10-29	166	288
2011-10-29	167	288
2011-10-29	168	288
2011-10-29	197	288
2011-10-29	198	287
2011-10-29	199	288
2011-10-29	200	288
2011-10-29	229	287
2011-10-29	230	288
2011-10-29	231	288
2011-10-29	232	288
2011-10-29	8257	288
2011-10-29	8258	288
2011-10-29	8259	288
2011-10-29	8289	288
2011-10-29	8290	288
2011-10-29	8291	288
2011-10-29	8321	288
2011-10-29	8322	288
2011-10-29	8323	288
2011-10-29	8353	288
2011-10-29	8354	288
2011-10-29	8355	288
2011-10-29	8385	288
2011-10-29	8386	288
2011-10-29	8387	288
2011-10-29	8417	288
2011-10-29	8418	288
2011-10-29	8419	288
2011-10-29	8449	288
2011-10-29	9000	288
2011-10-29	12352	288
2011-10-29	12384	288
2011-10-29	12416	288
2011-10-29	12448	288
2011-10-29	12480	288
2011-10-29	12512	288
2011-10-29	12544	288
2011-10-30	69	292
2011-10-30	70	295
2011-10-30	71	299
2011-10-30	72	295
2011-10-30	101	288
2011-10-30	102	296
2011-10-30	103	297
2011-10-30	104	288
2011-10-30	133	288
2011-10-30	134	298
2011-10-30	135	297
2011-10-30	136	288
2011-10-30	165	297
2011-10-30	166	288
2011-10-30	167	288
2011-10-30	168	288
2011-10-30	197	298
2011-10-30	198	294
2011-10-30	199	293
2011-10-30	200	299
2011-10-30	229	298
2011-10-30	230	290
2011-10-30	231	299
2011-10-30	232	288
2011-10-30	8257	292
2011-10-30	8258	288
2011-10-30	8259	294
2011-10-30	8289	298
2011-10-30	8290	291
2011-10-30	8291	290
2011-10-30	8321	288
2011-10-30	8322	288
2011-10-30	8323	297
2011-10-30	8353	293
2011-10-30	8354	288
2011-10-30	8355	299
2011-10-30	8385	293
2011-10-30	8386	295
2011-10-30	8387	288
2011-10-30	8417	298
2011-10-30	8418	291
2011-10-30	8419	299
2011-10-30	8449	290
2011-10-30	9000	288
2011-10-30	12352	288
2011-10-30	12384	296
2011-10-30	12416	297
2011-10-30	12448	300
2011-10-30	12480	293
2011-10-30	12512	289
2011-10-30	12544	294
2011-10-31	69	288
2011-10-31	70	288
2011-10-31	71	288
2011-10-31	72	288
2011-10-31	101	288
2011-10-31	102	288
2011-10-31	103	288
2011-10-31	104	288
2011-10-31	133	288
2011-10-31	134	288
2011-10-31	135	288
2011-10-31	136	288
2011-10-31	165	288
2011-10-31	166	288
2011-10-31	167	288
2011-10-31	168	288
2011-10-31	197	288
2011-10-31	198	288
2011-10-31	199	288
2011-10-31	200	288
2011-10-31	229	288
2011-10-31	230	288
2011-10-31	231	288
2011-10-31	232	288
2011-10-31	8257	288
2011-10-31	8258	288
2011-10-31	8259	288
2011-10-31	8289	288
2011-10-31	8290	288
2011-10-31	8291	288
2011-10-31	8321	288
2011-10-31	8322	288
2011-10-31	8323	288
2011-10-31	8353	288
2011-10-31	8354	288
2011-10-31	8355	288
2011-10-31	8385	288
2011-10-31	8386	288
2011-10-31	8387	288
2011-10-31	8417	288
2011-10-31	8418	288
2011-10-31	8419	288
2011-10-31	8449	288
2011-10-31	9000	288
2011-10-31	12352	288
2011-10-31	12384	288
2011-10-31	12416	288
2011-10-31	12448	288
2011-10-31	12480	288
2011-10-31	12512	288
2011-10-31	12544	288
2011-10-31	17252	126
2011-11-01	69	288
2011-11-01	70	288
2011-11-01	71	288
2011-11-01	72	288
2011-11-01	101	288
2011-11-01	102	288
2011-11-01	103	288
2011-11-01	104	288
2011-11-01	133	288
2011-11-01	134	288
2011-11-01	135	287
2011-11-01	136	288
2011-11-01	165	287
2011-11-01	166	288
2011-11-01	167	288
2011-11-01	168	288
2011-11-01	197	288
2011-11-01	198	288
2011-11-01	199	288
2011-11-01	200	288
2011-11-01	229	288
2011-11-01	230	288
2011-11-01	231	288
2011-11-01	232	288
2011-11-01	8257	288
2011-11-01	8258	288
2011-11-01	8259	288
2011-11-01	8289	288
2011-11-01	8290	288
2011-11-01	8291	288
2011-11-01	8321	288
2011-11-01	8322	288
2011-11-01	8323	288
2011-11-01	8353	288
2011-11-01	8354	288
2011-11-01	8355	288
2011-11-01	8385	288
2011-11-01	8386	288
2011-11-01	8387	288
2011-11-01	8417	288
2011-11-01	8418	288
2011-11-01	8419	288
2011-11-01	8449	288
2011-11-01	9000	288
2011-11-01	12352	288
2011-11-01	12384	288
2011-11-01	12416	288
2011-11-01	12448	287
2011-11-01	12480	288
2011-11-01	12512	288
2011-11-01	12544	287
2011-11-01	17252	288
2011-11-02	69	288
2011-11-02	70	288
2011-11-02	71	288
2011-11-02	72	288
2011-11-02	101	288
2011-11-02	102	288
2011-11-02	103	288
2011-11-02	104	288
2011-11-02	133	288
2011-11-02	134	288
2011-11-02	135	288
2011-11-02	136	288
2011-11-02	165	287
2011-11-02	166	288
2011-11-02	167	288
2011-11-02	168	288
2011-11-02	197	288
2011-11-02	198	288
2011-11-02	199	288
2011-11-02	200	288
2011-11-02	229	288
2011-11-02	230	288
2011-11-02	231	288
2011-11-02	232	288
2011-11-02	8257	288
2011-11-02	8258	288
2011-11-02	8259	288
2011-11-02	8289	288
2011-11-02	8290	288
2011-11-02	8291	288
2011-11-02	8321	288
2011-11-02	8322	288
2011-11-02	8323	288
2011-11-02	8353	288
2011-11-02	8354	288
2011-11-02	8355	288
2011-11-02	8385	288
2011-11-02	8386	288
2011-11-02	8387	288
2011-11-02	8417	288
2011-11-02	8418	288
2011-11-02	8419	288
2011-11-02	8449	288
2011-11-02	9000	288
2011-11-02	12352	288
2011-11-02	12384	288
2011-11-02	12416	288
2011-11-02	12448	288
2011-11-02	12480	288
2011-11-02	12512	288
2011-11-02	12544	288
2011-11-02	17252	288
2011-11-03	69	182
2011-11-03	70	183
2011-11-03	71	183
2011-11-03	72	183
2011-11-03	101	182
2011-11-03	102	182
2011-11-03	103	182
2011-11-03	104	182
2011-11-03	133	179
2011-11-03	134	179
2011-11-03	135	180
2011-11-03	136	179
2011-11-03	165	179
2011-11-03	166	180
2011-11-03	167	180
2011-11-03	168	180
2011-11-03	197	180
2011-11-03	198	180
2011-11-03	199	180
2011-11-03	200	180
2011-11-03	229	178
2011-11-03	230	178
2011-11-03	231	178
2011-11-03	232	177
2011-11-03	8257	181
2011-11-03	8258	182
2011-11-03	8259	182
2011-11-03	8289	181
2011-11-03	8290	180
2011-11-03	8291	180
2011-11-03	8321	179
2011-11-03	8322	179
2011-11-03	8323	178
2011-11-03	8353	180
2011-11-03	8354	180
2011-11-03	8355	180
2011-11-03	8385	180
2011-11-03	8386	180
2011-11-03	8387	180
2011-11-03	8417	177
2011-11-03	8418	176
2011-11-03	8419	177
2011-11-03	8449	178
2011-11-03	9000	208
2011-11-03	12352	182
2011-11-03	12384	180
2011-11-03	12416	178
2011-11-03	12448	180
2011-11-03	12480	180
2011-11-03	12512	177
2011-11-03	12544	179
2011-11-03	17252	131
2011-11-04	71	106
2011-11-04	8259	105
2011-11-04	9000	16
2011-11-04	12352	106
2011-11-05	71	288
2011-11-05	8259	288
2011-11-05	9000	235
2011-11-05	12352	288
2011-11-06	71	254
2011-11-06	8259	265
2011-11-06	9000	268
2011-11-06	12352	261
2011-11-07	71	46
2011-11-07	72	32
2011-11-07	8258	28
2011-11-07	8259	16
2011-11-07	9000	14
2011-11-07	12352	46
2011-12-05	69	145
2011-12-05	70	147
2011-12-05	71	156
2011-12-05	8257	145
2011-12-05	8258	112
2011-12-05	8259	66
2011-12-06	69	288
2011-12-06	70	288
2011-12-06	71	288
2011-12-06	165	84
2011-12-06	166	84
2011-12-06	167	76
2011-12-06	168	84
2011-12-06	229	91
2011-12-06	230	83
2011-12-06	231	93
2011-12-06	232	93
2011-12-06	8257	288
2011-12-06	8258	288
2011-12-06	8259	92
2011-12-06	8353	2
2011-12-06	8417	90
2011-12-06	8419	87
2011-12-06	12448	81
2011-12-07	69	288
2011-12-07	70	288
2011-12-07	71	287
2011-12-07	165	288
2011-12-07	166	288
2011-12-07	167	288
2011-12-07	168	288
2011-12-07	229	288
2011-12-07	230	288
2011-12-07	231	288
2011-12-07	232	288
2011-12-07	8257	288
2011-12-07	8258	288
2011-12-07	8259	288
2011-12-07	8417	288
2011-12-07	8419	288
2011-12-07	12448	288
2011-12-08	69	288
2011-12-08	70	288
2011-12-08	71	288
2011-12-08	165	286
2011-12-08	166	288
2011-12-08	167	288
2011-12-08	168	288
2011-12-08	229	287
2011-12-08	230	288
2011-12-08	231	288
2011-12-08	232	288
2011-12-08	8257	288
2011-12-08	8258	288
2011-12-08	8259	287
2011-12-08	8417	287
2011-12-08	8419	288
2011-12-08	12448	285
2011-12-09	69	288
2011-12-09	70	288
2011-12-09	71	288
2011-12-09	134	163
2011-12-09	165	288
2011-12-09	166	288
2011-12-09	167	288
2011-12-09	168	287
2011-12-09	229	288
2011-12-09	230	288
2011-12-09	231	288
2011-12-09	232	288
2011-12-09	8257	288
2011-12-09	8258	288
2011-12-09	8259	288
2011-12-09	8417	288
2011-12-09	8419	287
2011-12-09	12448	288
2011-12-10	69	288
2011-12-10	70	288
2011-12-10	71	288
2011-12-10	134	288
2011-12-10	165	288
2011-12-10	166	288
2011-12-10	167	288
2011-12-10	168	288
2011-12-10	229	288
2011-12-10	230	288
2011-12-10	231	288
2011-12-10	232	288
2011-12-10	8257	288
2011-12-10	8258	288
2011-12-10	8259	288
2011-12-10	8417	288
2011-12-10	8419	288
2011-12-10	12448	287
2011-12-11	69	288
2011-12-11	70	288
2011-12-11	71	288
2011-12-11	134	288
2011-12-11	165	288
2011-12-11	166	288
2011-12-11	167	288
2011-12-11	168	288
2011-12-11	229	287
2011-12-11	230	288
2011-12-11	231	288
2011-12-11	232	288
2011-12-11	8257	288
2011-12-11	8258	288
2011-12-11	8259	288
2011-12-11	8417	288
2011-12-11	8419	288
2011-12-11	12448	288
2011-12-12	69	288
2011-12-12	70	288
2011-12-12	71	288
2011-12-12	134	288
2011-12-12	165	288
2011-12-12	166	288
2011-12-12	167	288
2011-12-12	168	288
2011-12-12	229	288
2011-12-12	230	288
2011-12-12	231	288
2011-12-12	232	287
2011-12-12	8257	288
2011-12-12	8258	288
2011-12-12	8259	288
2011-12-12	8417	288
2011-12-12	8419	288
2011-12-12	12448	288
2011-12-13	69	288
2011-12-13	70	288
2011-12-13	71	288
2011-12-13	134	288
2011-12-13	165	288
2011-12-13	166	288
2011-12-13	167	288
2011-12-13	168	288
2011-12-13	229	288
2011-12-13	230	287
2011-12-13	231	288
2011-12-13	232	288
2011-12-13	8257	288
2011-12-13	8258	288
2011-12-13	8259	288
2011-12-13	8417	288
2011-12-13	8419	288
2011-12-13	12448	288
2011-12-14	69	288
2011-12-14	70	288
2011-12-14	71	288
2011-12-14	134	288
2011-12-14	165	288
2011-12-14	166	288
2011-12-14	167	288
2011-12-14	168	288
2011-12-14	229	288
2011-12-14	230	288
2011-12-14	231	288
2011-12-14	232	288
2011-12-14	8257	288
2011-12-14	8258	288
2011-12-14	8259	288
2011-12-14	8417	287
2011-12-14	8419	288
2011-12-14	12448	288
2011-12-15	69	288
2011-12-15	70	288
2011-12-15	71	288
2011-12-15	134	288
2011-12-15	165	288
2011-12-15	166	288
2011-12-15	167	288
2011-12-15	168	288
2011-12-15	229	288
2011-12-15	230	288
2011-12-15	231	288
2011-12-15	232	288
2011-12-15	8257	288
2011-12-15	8258	288
2011-12-15	8259	288
2011-12-15	8417	288
2011-12-15	8419	287
2011-12-15	12448	288
2011-12-16	69	288
2011-12-16	70	288
2011-12-16	71	288
2011-12-16	134	288
2011-12-16	165	288
